"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS"
"137","regular","FM","JJ","regular",NA,"regular",0,NA,"regular",NA,NA
"138","Manner","N.Reg.Nom.Pl.Masc","NP","Manner",NA,"Manner",0,NA,"Manner",NA,NA
"139","as","ADV","IN","as",NA,"as",0,NA,"as",NA,NA
"140","the","N.Name.*.*.*","DT","the",NA,"the",0,NA,"the",NA,NA
"141","FnEwch","N.Name.*.*.*","NP","FnEwch",NA,"FnEwch",1,"FnEwch",NA,NA,NA
"142","and","N.Name.*.*.*","CC","and",NA,"and",0,NA,"and",NA,NA
"143","other","N.Name.*.*.*","JJ","other",NA,"other",0,NA,"other",NA,NA
"144","Modern","N.Name.*.*.*","NP","Modern",NA,"Modern",0,NA,"Modern",NA,NA
"145","Languages","N.Name.Dat.Pl.*","NNS","Languages",NA,"Languages",1,"Languages",NA,NA,"Languages"
"146",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA
"147","The","N.Name.*.*.*","DT","The",NA,"The",0,NA,"The",NA,NA
"148","Whole","N.Name.*.*.*","JJ","Whole",NA,"Whole",0,NA,"Whole",NA,NA
"149","interſperſed","N.Name.*.*.*","NN","interspersed",NA,"interspersed",0,NA,"interspersed",NA,NA
"150","with","N.Name.*.*.*","IN","with",NA,"with",0,NA,"with",NA,NA
"151","Several","N.Name.*.*.*","JJ","Several",NA,"Several",0,NA,"Several",NA,NA
"152","fhort","VPP.Full.Psp","NN","fhort","fhort","fhort",1,"fhort",NA,NA,NA
"153","PRAxEs","FM","NNS","PRAxEs",NA,"PRAxEs",1,"PRAxEs",NA,NA,"PRAxEs"
"154","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA
"155","REMAkks","FM","NNS","REMAkks",NA,"REMAkks",1,"REMAkks",NA,NA,"REMAkks"
"156","at","FM","IN","at",NA,"at",0,NA,"at",NA,NA
"157","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"158","End","N.Name.*.*.*","NN","End",NA,"End",0,NA,"End",NA,NA
"159","of","FM","IN","of","of","of",0,NA,"of",NA,NA
"160","every","FM","DT","every",NA,"every",0,NA,"every",NA,NA
"161","Part","N.Reg.Acc.Sg.Masc","NN","Part",NA,"Part",0,NA,"Part",NA,NA
"162","of","FM","IN","of","of","of",0,NA,"of",NA,NA
"163","SPEEcu","FM","NP","SPEEcu",NA,"SPEEcu",1,"SPEEcu",NA,NA,NA
"164",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA
"165","To","FM","TO","To",NA,"To",0,NA,"To",NA,NA
"166","which","ADJD.Pos","WDT","which",NA,"which",0,NA,"which",NA,NA
"167","are","FM","VBP","are",NA,"are",0,NA,"are",NA,NA
